Title of Conference,Acronym,Source,Rank
Australian World Wide Web Conference,AusWeb,CORE2018,Australasian
Australian Women in IT Conference,AusWIT,CORE2018,Australasian
Australian UNIX Users Group National Conference,AUUG,CORE2018,Australasian
Australasian Workshop on Combinatorial Algorithms,AWOCA,CORE2018,Australasian
Australian Workshop on Requirements Engineering,AWRE,CORE2018,Australasian
Australian Workshop on Software Architecture,AWSA,CORE2018,Australasian
Computing: The Australasian Theory Symposium,CATS,CORE2018,Australasian
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,CORE2018,Australasian
Australasian Compumod Users' Conference,COMPUMOD,CORE2018,Australasian
Joint DICTA & IVCNZ,DICTA/IVCNZ,CORE2018,Australasian
Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing,DIVC,CORE2018,Australasian
Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2020,Australasian B
Australian Software Engineering Conference,ASWEC,CORE2020,Australasian B
Australian Computer Human Interaction Conference,OZCHI,CORE2023,Australasian B
Australasian Joint Conference on Artificial Intelligence,AI,CORE2023,Australasian B
Australasian Computing Education Conference (ACE),ACE,CORE2023,Australasian B
Australasian Conference on Information Security and Privacy,ACISP,CORE2023,Australasian B
Australasian Database Conference,ADC,CORE2023,Australasian B
Australasian Document Computing Symposium,ADCS,CORE2023,Australasian B
Australasian Language Technology Workshop,ALTA,CORE2023,Australasian C
Image and Vision Computing Conference,IVCNZ,CORE2023,Australasian C
Digital Image Computing Techniques and Applications,DICTA,CORE2023,Australasian C
Australasian Information Security Conference,AISC,CORE2023,Australasian C
Australian Data Mining Conference,AusDM,CORE2023,Australasian C
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,CORE2023,Australasian C
Australasian Conference on Robotics and Automation,ACRA,CORE2023,Australasian C
Australian Institute of Computer Ethics Conference,AICE,CORE2023,Australasian C
Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2023,Australasian C
National Conference of The Australian Society for Operations Research,ASOR,CORE2023,Australasian C
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,CORE2023,Australasian C
Simulation Technology and Training Conference,SimTecT,CORE2023,Australasian C
Australasian Speech Science and Technology,SST,CORE2023,Australasian C
Health Informatics Conference,HIC,CORE2023,Australasian C
International Conference on Information Technology and Applications,ICITA,CORE2023,Australasian C
Interactive Entertainment,IE,CORE2023,Australasian C
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,CORE2023,Australasian C
International Congress on Modelling and Simulation,MODSIM,CORE2023,Australasian C
New Zealand Game Developers Conference,NZGDC,CORE2023,Australasian C
International Conference on Graph Transformations,ICGT,CORE2023,B
IEEE International Conference on Image Processing,ICIP,CORE2023,B
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,CORE2023,B
International Conference on Multimedia Retrieval (previously MIR),ICMR,CORE2023,B
International Conference on Model Transformation,ICMT,CORE2023,B
International Conference on Neural Information Processing,ICONIP,CORE2023,B
International Conference on Parallel and Distributed Systems,ICPADS,CORE2023,B
ACM/SPEC International Conference on Performance Engineering,ICPE,CORE2023,B
International Conference on Pattern Recognition,ICPR,CORE2023,B
International Conference on Software Reuse,ICSR,CORE2023,B
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,CORE2023,B
International Conference on Tools with Artificial Intelligence,ICTAI,CORE2023,B
International Conference on Web Engineering,ICWE,CORE2023,B
Intelligent Data Analysis,IDA,CORE2023,B
The International Conference on Intelligent Environments,IE,CORE2023,B
IEEE Consumer Communications and Networking Conference,IEEE CCNC,CORE2023,B
Intelligent Vehicles Conference,IEEE-IV,CORE2023,B
IFIP Information Security & Privacy Conference,IFIP SEC,CORE2023,B
International Joint Conference on Natural Language Processing,IJCNLP,CORE2023,B
IEEE International Joint Conference on Neural Networks,IJCNN,CORE2023,B
Inductive Logic Programming,ILP,CORE2023,B
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,CORE2023,B
International Natural Language Generation Conference,INLG,CORE2023,B
IFIP TC13 Conference on Human-Computer Interaction,Interact,CORE2023,B
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,CORE2023,B
IEEE International Symposium on Information Theory,ISIT,CORE2023,B
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,CORE2023,B
International Conference on Intelligent Tutoring Systems,ITS,CORE2023,B
Information Theory Workshop,ITW,CORE2023,B
Intelligent Virtual Agents,IVA,CORE2023,B
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2023,B
IEEE International Workshop on Quality of Service,IWQoS,CORE2023,B
Knowledge capture,K-CAP,CORE2023,B
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,CORE2023,B
International Symposium on Latin American Theoretical Informatics,LATIN,CORE2023,B
IEEE Conference on Local Computer Networks,LCN,CORE2023,B
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,CORE2023,B
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,CORE2023,B
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2023,B
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,CORE2023,B
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,CORE2023,B
International Conference on Mobile Data Management,MDM,CORE2023,B
International Conference on Mathematical Foundations of Programming Semantics,MFPS,CORE2023,B
International Conference on Multimedia Modelling,MMM,CORE2023,B
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,CORE2023,B
Mathematics of Program Construction,MPC,CORE2023,B
Mobile and Ubiquitous Multimedia (ACM),MUM,CORE2023,B
IEEE International Symposium on Network Computing and Applications,NCA,CORE2023,B
IFIP International Conference on Networking,Networking,CORE2023,B
IEEE Network Operations and Management Symposium,NOMS,CORE2023,B
Network and Operating System Support for Digital Audio and Video,NOSSDAV,CORE2023,B
International Conference on network and System Security,NSS,CORE2023,B
International Conference on Principles of Distributed Systems,OPODIS,CORE2023,B
International Conference on Parallel Architecture and Compilation Techniques,PACT,CORE2023,B
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,CORE2023,B
Passive and Active Measurement Conference,PAM,CORE2023,B
INTERNATIONAL SYMPOSIUM ON PERVASIVE DISPLAYS,PerDis,CORE2023,B
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,CORE2023,B
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,CORE2023,B
International Conference on Practice and Theory in Public Key Cryptography,PKC,CORE2023,B
Pacific Rim International Conference on Artificial Intelligence,PRICAI,CORE2023,B
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,CORE2023,B
Product Focused Software Process Improvement,PROFES,CORE2023,B
International Conference on Research Challenges in Information Science,RCIS,CORE2023,B
International Conference on Computational Molecular Biology,RECOMB,CORE2023,B
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,CORE2023,B
International Joint Conference on Rules and Reasoning,RuleML+RR,CORE2023,B
International Conference on Runtime Verification (was workshop pre 2010),RV,CORE2023,B
Selected Areas in Cryptography,SAC,CORE2023,B
"International Conference on Computer Safety, Reliability and Security",SAFECOMP,CORE2023,B
International Symposium on Algorithmic Game Theory,SAGT,CORE2023,B
Static Analysis Symposium,SAS,CORE2023,B
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,CORE2023,B
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,CORE2023,B
International Symposium on Experimental Algorithms,SEA,CORE2023,B
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,CORE2023,B
"IEEE International Conference on Sensing, Communication and Networking",SECON,CORE2023,B
International Conference on Software Engineering and Formal Methods,SEFM,CORE2023,B
IEEE Congress on Services,SERVICES,CORE2023,B
Symposium on Geometry Processing,SGP,CORE2023,B
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,CORE2023,B
International Colloquium on Structural Information and Communication Complexity,SIROCCO,CORE2023,B
International Conference on Similarity Search and Applications,SISAP,CORE2023,B
International Conference on Software Language Engineering,SLE,CORE2023,B
"IEEE Conference on Systems, Man and Cybernetics",SMC,CORE2023,B
Current Trends in Theory and Practice of Computer Science,SOFSEM,CORE2023,B
Symposium On Usable Privacy and Security,SOUPS,CORE2023,B
Software Product Lines Conference,SPLC,CORE2023,B
Symposium on Reliable Distributed Systems,SRDS,CORE2023,B
International Symposium on Search Based Software Engineering,SSBSE,CORE2023,B
International Conference on Scientific and Statistical Data Base Management,SSDBM,CORE2023,B
Structural and Syntactical Pattern Recognition,SSPR,CORE2023,B
International Symposium on Spatial and Temporal Databases,SSTD,CORE2023,B
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,CORE2023,B
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,CORE2023,B
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,CORE2023,B
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,CORE2023,B
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,CORE2023,B
International Conference on Virtual Execution Environments,VEE,CORE2023,B
IEEE International Working Conference on Software Visualisation,VISSOFT,CORE2023,B
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,CORE2023,B
"Verification, Model Checking and Abstract Interpretation",VMCAI,CORE2023,B
IEEE Vehicular Technology Conference,VTC,CORE2023,B
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B
International Conference and Workshops on Algorithms and Computation,WALCOM,CORE2023,B
Workshop on Approximation and Online Algorithms,WAOA,CORE2023,B
IEEE Wireless Communications and Networking Conference,WCNC,CORE2023,B
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,CORE2023,B
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,CORE2023,B
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,CORE2023,B
International Conference on Web Information Systems Engineering,WISE,CORE2023,B
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,CORE2023,B
Conference on Agile Software Development,XP,CORE2023,B
IEEE International Conference on Cluster Computing,CLUSTER,CORE2023,B
Discovery Science,DS,CORE2023,B
Language Resources and Evaluation Conference,LREC,CORE2023,B
Interaction Design and Children (ACM),IDC,CORE2023,B
International Conference on Process Mining,ICPM,CORE2023,B
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,CORE2023,B
Integrated Formal Methods,IFM,CORE2023,B
International Conference on Quality of Multimedia Experience,QoMEX,CORE2023,B
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,CORE2023,B
Conference on Computational Natural Language Learning,CoNLL,CORE2023,B
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,CORE2023,B
"International Conference on Availability, Reliability and Security",ARES,CORE2023,B
"Tangible, Embedded, and Embodied Interaction",TEI,CORE2023,B
International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,CORE2023,B
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,CORE2023,B
The Symposium of Combinatorial Search,SoCS,CORE2023,B
International Conference on Formal Structures for Computation and Deduction,FSCD,CORE2023,B
Annual Meeting of the Cognitive Science Society,CogSci,CORE2023,B
International Conference on Computational Linguistics,COLING,CORE2023,B
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,CORE2023,B
Cryptographers Track at RSA Conference,CT-RSA,CORE2023,B
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,CORE2023,B
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,CORE2023,B
Euromicro Conference on Real-Time Systems,ECRTS,CORE2023,B
International Conference on Parallel Processing,ICPP,CORE2023,B
International Conference on Network Protocols,ICNP,CORE2023,B
Principles and Practice of Parallel Programming,PPoPP,CORE2023,B
Symposium on Parallelism in Algorithms and Architectures,SPAA,CORE2023,B
International Conference on Network Softwarization,NetSoft,CORE2023,B
Logic Programming and Automated Reasoning,LPAR,CORE2023,B
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,CORE2023,B
Asian Conference on Computer Vision,ACCV,CORE2023,B
Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2023,B
Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B
International Conference on Applied Cryptography and Network Security,ACNS,CORE2023,B
Artificial Intelligence in Medicine in Europe,AIME,CORE2023,B
Advances in Modal Logic,AiML,CORE2023,B
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,CORE2023,B
Algorithmic Learning Theory,ALT,CORE2023,B
Workshop on Analytic Algorithmics and Combinatorics,ANALCO,CORE2023,B
Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B
ASIAN Symposium on Programming Languages and Systems,APLAS,CORE2023,B
International Symposium on Automated Technology for Verification and Analysis,ATVA,CORE2023,B
Advanced Visual Interfaces,AVI,CORE2023,B
"International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes",AAAAECC,CORE2018,B
ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,CORE2018,B
International Symposium on Advanced DB Technologies and Integration,ADTI,CORE2018,B
International Conference on Informatics Education and Research,AIS SIGED: IAIM,CORE2018,B
International Conference on Advances in Intelligent Systems: Theory and Applications,AISTA,CORE2018,B
Algorithms and Experiments,ALEX,CORE2018,B
International Conference on Algebraic and Logic Programming,ALP,CORE2018,B
Artificial Neural Networks in Engineering Conference,ANNIE,CORE2018,B
Annual Simulation Symposium,ANSS,CORE2018,B
International Workshop on Ant Colony,ANTS,CORE2018,B
Asian Computing Science Conference,ASIAN,CORE2018,B
IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems,BASYS,CORE2018,B
International Conference on Business Information Systems,BIS,CORE2018,B
Workshop on Combinatorial and Algorithmic Aspects of Networking,CAAN,CORE2018,B
IEEE/IFAC Joint Symposium on Intelligent Control,CACSD,CORE2018,B
Conference on Artificial Intelligence for Applications,CAIA,CORE2018,B
Cultural Attitudes towards Technology and Communications,CATAC,CORE2018,B
"IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services ",CBI (was CEC/EEE),CORE2018,B
IEEE International Conference on Control Applications,CCA,CORE2018,B
Journal of Computing Science in Colleges (Conference proceedings),CCSC,CORE2018,B
IEEE Computer Communications Workshop,CCW,CORE2018,B
IFIP/ACM Working Conference on Component Deployment,CD,CORE2018,B
International Conference on Email and Anti-Spam,CEAS,CORE2018,B
"Conference on Information Science, Technology and Management",CISTM,CORE2018,B
Complexity and information-theoretic approaches to biology,CITB,CORE2018,B
International Cognitive Robotics Conference,COGROBO,CORE2018,B
Collaborative Electronic Commerce Technology and Research,CollECTeR,CORE2018,B
Symposium on Logical Formalizations of Commonsense Reasoning,COMMONSENSE,CORE2018,B
International Symposium on Computational Life Science,CompLife,CORE2018,B
International Conference on Information Resources Management,Conf-IRM,CORE2018,B
International Conference on Digital Government Research,DGO,CORE2018,B
International Conference on Discrete Mathematics and Theoretical Computer Science,DMTCS,CORE2018,B
Distributed Simulation Symposium ,DSS,CORE2018,B
Design for User Experience,DUX,CORE2018,B
IEEE Dynamic Spectrum Access Networks ,DYSPAN,CORE2018,B
European Conference on Artificial Life,ECAL,CORE2018,B
IEEE International Conference and Workshop on the Engineering of Computer Based Systems,ECBS,CORE2018,B
International Conference on Electronic Commerce and Web Technology,ECWeb,CORE2018,B
European Grid Conference,EGC,CORE2018,B
European Conference on Knowledge Management,EKM,CORE2018,B
"European, Mediterranean and Middle Eastern Conference on Information Systems",EMCIS,CORE2018,B
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming,ERCIM/CSCLP,CORE2018,B
Joint workshop on Multimodal Interaction and Related Machine Learning Algorithms (now ICMI-MLMI),MLMI,CORE2018,B
Medicine Meets Virtual Reality,MMVR,CORE2018,B
International Conference on Massively Parallel Computing Systems,MPCS,CORE2018,B
Massively Parallel Processing Using Optional Interconnections,MPPOI,CORE2018,B
IFIP International Conference on Open Distributed Processing,ODP,CORE2018,B
The organizational semiotics Conference,ORGSEM,CORE2018,B
Pacific Asian Conference on Expert Systems,PACES,CORE2018,B
Participatory Design Conference,PDC,CORE2018,B
International Conference on Persuasive Technology,Persuasive,CORE2018,B
Symposium on Programming Language Implementation and Logic Programming,PLILP,CORE2018,B
Annual PPIG Workshop,PPIG,CORE2018,B
International Conference on Qualitative Research in IT & IT in Qualitative Research,QualIT,CORE2018,B
International Workshop on Requirements Engineering Visualization,REV,CORE2018,B
International Workshop on Research Issues in Data Engineering,RIDE,CORE2018,B
RuleML: International Web Rule Symposium (pre 2007 was 'International Conference on Rules and Rule Markup Languages for the Semantic Web'),RuleML,CORE2018,B
"Symposium on Abstraction, Reformulation and Approximation",SARA,CORE2018,B
International Conference on Software Composition,SC,CORE2018,B
International Conference on Software Engineering: Education and Practice ,SEEP,CORE2018,B
Singapore International Conference on Intelligent Systems,SPICIS,CORE2018,B
ACM Workshop on Scalable Trusted Computing,STC,CORE2018,B
Software Technology and Engineering Practice Conference,STEP,CORE2018,B
International Conference on Software Development,SWDC,CORE2018,B
International Conference on Theoretical and Methodological Issues in machine Translation,TMI,CORE2018,B
Unconventional Models of Computation,UMC,CORE2018,B
IFIP Working Conference on Visual Database Systems,VDbS,CORE2018,B
"International Meeting on High Performance Computing for Computational Science (previously International Meeting Vector and Parallel Processing, changed in 2002)",VECPAR,CORE2018,B
Workshop on Algorithm Engineering,WAE,CORE2018,B
International Workshop on Artificial Intelligence and Statistics,WAIS,CORE2018,B
World Congress on Expert Systems,WCES,CORE2018,B
World Congress on Neural Networks,WCNN,CORE2018,B
IEEE Working Conference on Reverse Engineering,WCRE,CORE2018,B
World Congress on Systems Simulation,WCSS,CORE2018,B
International Workshop on Web Content Caching and Distribution,WCW,CORE2018,B
International Workshop on Efficient Algorithms,WEA,CORE2018,B
ACM Workshop on Web Information and Data Management,WIDM,CORE2018,B
IEEE International Workshop on Object-Oriented Real-Time Dependable Systems,WORDS,CORE2018,B
"International Conference on Agile Software Development (chnaged in 2010, was International Conference on extreme Programming and Flexible Processes in Software Engineering)",XP,CORE2018,B
International Workshop on Agents and Data Mining Interaction,ADMI,CORE2020,B
"International Symposium on Parallel Architectures, Algorithms and Networks",I-SPAN,CORE2020,B
Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,CORE2020,B
Technology of Object-Oriented Languages and Systems,TOOLS,CORE2020,B
International Conference on Virtual Systems and MultiMedia,VSMM,CORE2020,B
International Workshop on Coding and Cryptography,WCC,CORE2020,B
Database Programming Languages,DBPL,CORE2021,B
International Conference on Conceptual Structures,ICCS,CORE2021,B
IEEE International Conference on Automatic Face and Gesture Recognition,FG,CORE2023,B
International Joint Conference on Biometrics,IJCB,CORE2023,B
IEEE International Conference on Data Science and Advanced Analytics,DSAA,CORE2023,B
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,ERA2010,B
AAEE - Annual Conference of Australasian Association for Engineering Education,,ERA2010,B
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,ERA2010,B
AIAA Aerospace Sciences Meeting,,ERA2010,B
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,ERA2010,B
Ambient Information Systems,AIS,ERA2010,B
Americas Conference on Wind Engineering,,ERA2010,B
ASEE Annual Conference and Exposition,,ERA2010,B
ASEE Global Colloquium of Engineering Education,,ERA2010,B
Asia Pacific Conference on Combustion,,ERA2010,B
Asian Symposium on Visualization,,ERA2010,B
Asia-Pacific Conference on Wind Engineering,,ERA2010,B
Asia-Pacific Vibration Conference,,ERA2010,B
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting,ACSA,ERA2010,B
Australasian Conference on the Mechanics of Structures and Materials,,ERA2010,B
Australia New Zealand Geomechanics conference,,ERA2010,B
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference,ANZAScA,ERA2010,B
Australian and New Zealand Association of Planning schools,ANZAPS,ERA2010,B
Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,,ERA2010,B
Australian Earthquake Engineering Conference,,ERA2010,B
Australian Institute of Building Surveyors International Refereed Conference,AIBS,ERA2010,B
Australian Road Research Board Annual Conference,,ERA2010,B
Australian Universities Building Education Association Annual Conference,AUBEA,ERA2010,B
Automation and Robotics International Symposium,ISARC,ERA2010,B
International Conference on Computing Education Research (Baltic Sea Conference on Computing Education Research prior to 2008),Koli Calling,ERA2010,B
Baosteel Academic Conference,,ERA2010,B
Bled Electronic Commerce Conference,BECC,ERA2010,B
British National Conference on Databases,BNCOD,ERA2010,B
Built Environment Education Conference,BEECON,ERA2010,B
Canadian Artificial Intelligence Conference,CAAI,ERA2010,B
Canadian Geotechnical Society Conference,,ERA2010,B
Chemeca: Australasian Conference on Chemical Engineering,,ERA2010,B
Computational Wind Engineering,,ERA2010,B
Computing and Control in the Water Industry 2009,,ERA2010,B
Congress of the Italian Assoc for AI,AI*IA,ERA2010,B
Construction Automation Conference,,ERA2010,B
Construction in the Twenty-first Century Conferences,CITC,ERA2010,B
Construction Management and Real Estate International Symposium,CRIOCM,ERA2010,B
Cooperative Research Centre for Construction Innovation International Conference,CRCCI,ERA2010,B
Declarative Agent Languages and Technologies (merged into EMAS in 2013),DALT,ERA2010,B
Design Research Society (UK) International Conference,DRS,ERA2010,B
Design Society Conferences,,ERA2010,B
Designing Pleasurable Products And Interfaces,DPPI,ERA2010,B
Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V,DAGM,ERA2010,B
East Asia-Pacific Conference on Structural Engineering and Construction,,ERA2010,B
Ecopolitics,,ERA2010,B
Education and Research in Computer Aided Architectural Design in Europe,eCAADe,ERA2010,B
Engineering Education series (organised by Higher Education Academy Engineering Subject Centre UK),,ERA2010,B
Entertainment and media in the ubiquitous era (ACM),MINDTREK,ERA2010,B
Environmental Design Research Association,EDRA,ERA2010,B
Europe-Africa Conference on Wind Engineering,,ERA2010,B
European Metallurgical Congress,,ERA2010,B
European Transport Conference,ETC,ERA2010,B
FISITA World Automotive Congress,,ERA2010,B
French Conference on Knowledge Acquisition and Machine Learning,FCKAML,ERA2010,B
"Geometric Modelling and Imaging, International Conference (IEEE)",GMAI,ERA2010,B
German Conference on Multi-Agent system Technologies,MATES,ERA2010,B
Global Conference on Sustainable Product Development and Life Cycle Engineering,,ERA2010,B
Hydrology and Water Resources Symposium,,ERA2010,B
IEEE Conference on Automation Science and Engineering,,ERA2010,B
IEEE Global Telecommunications Conference,IEEE GLOBECOM,ERA2010,B
IEEE International Conference on Mechatronics and Automation,,ERA2010,B
IEEE International Conference on Robotics and Biomimetics,,ERA2010,B
IEEE International Dynamic Spectrum Access Networks Symposium,IEEE DYSPAN,ERA2010,B
IEEE International Symposium on Electronics and the Environment,,ERA2010,B
IEEE/IFAC Computer Aided Control System Design,CACSD,ERA2010,B
Infrastructure and Environment (International Postgraduate Conference),IPC,ERA2010,B
Intelligent Vehicles Symposium,IEEE IV,ERA2010,B
Interior Design Educators Association (IDEA) Conference,IDEA,ERA2010,B
Interiors Forum Scotland conference,IFS,ERA2010,B
"Interiors Forum World, Politecnico di Milano",IFW,ERA2010,B
International Association for the Study of Traditional Environments (US),IASTE,ERA2010,B
International Association of Ergonomics Societies Congress,IEA,ERA2010,B
International Association of Societies of Design Research,IASDR,ERA2010,B
International Conference on Advanced Materials Processing,,ERA2010,B
International Conference on Biomedical and Pharmaceutical Engineering,,ERA2010,B
International Conference on Construction and Real Estate Management,ICCREM,ERA2010,B
International Conference on Engineering Computational Technology,,ERA2010,B
"International Conference on Engineering Design (ICED), The Design Society",ICED,ERA2010,B
"International Conference on Fluid Control, Measurements, and Visualization",,ERA2010,B
International Conference on Fluid Mechanics,,ERA2010,B
"International Conference on Intelligent Sensors, Sensor Networks and Information Processing",ISSNIP,ERA2010,B
"International Conference on Mechanics of structures, Materials and System",,ERA2010,B
IEEE International Conference on Big Data,BigData,CORE2023,B
Conference on Algebra and Coalgebra in Computer Science,CALCO,CORE2023,B
International Conference on Cryptology and Network Security,CANS,CORE2023,B
Computer Algebra in Scientific Computing,CASC,CORE2023,B
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,CORE2023,B
International Conference on Compiler Construction,CC,CORE2023,B
IEEE Congress on Evolutionary Computation,CEC,CORE2023,B
IEEE International Conference on Cloud Computing,CLOUD,CORE2023,B
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,CORE2023,B
International Computer Software and Applications Conference,COMPSAC,CORE2023,B
International Conference on Cooperative Information Systems,CoopIS,CORE2023,B
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,CORE2023,B
Combinatorial Pattern Matching,CPM,CORE2023,B
Computer Supported Collaborative Learning,CSCL,CORE2023,B
International Conference on Computer Supported Education,CSEDU,CORE2023,B
Annual Conference on Computer Science Logic,CSL,CORE2023,B
International Workshop on Document Analysis Systems,DAS,CORE2023,B
International Conference on Database Systems for Advanced Applications,DASFAA,CORE2023,B
"Design, Automation and Test in Europe Conference",DATE,CORE2023,B
Data Warehousing and Knowledge Discovery,DaWaK,CORE2023,B
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,CORE2023,B
Data Compression Conference,DCC,CORE2023,B
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,CORE2023,B
DNA Computing and Molecular Programming,DNA,CORE2023,B
ACM Symposium on Document Engineering,DocEng,CORE2023,B
IEEE International Conference on e-Science and Grid Computing,e-Science,CORE2023,B
European Conference on Technology Enhanced Learning,EC-TEL,CORE2023,B
European Conference on Computer Supported Cooperative Work,ECSCW,CORE2023,B
Educational Data Mining,EDM,CORE2023,B
IEEE International Enterprise Distributed Object Computing Conference,EDOC,CORE2023,B
International Conference on Knowledge Engineering and Knowledge Management,EKAW,CORE2023,B
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,CORE2023,B
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,CORE2023,B
European Symposium on Artificial Neural Networks,ESANN,CORE2023,B
Eye Tracking Research and Applications,ETRA,CORE2023,B
European Conference on Genetic Programming,EUROGP,CORE2023,B
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,CORE2023,B
European SPI,EuroSPI,CORE2023,B
Eurographics/IEEE Symposium on Visualization,EuroVis,CORE2023,B
International Conference on Applications of Evolutionary Computation,EvoApplications,CORE2023,B
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,CORE2023,B
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,CORE2023,B
Fundamental Approaches to Software Engineering,FASE,CORE2023,B
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,CORE2023,B
International Symposium on Fundamentals of Computation Theory,FCT,CORE2023,B
Formal Methods in Computer-Aided Design,FMCAD,CORE2023,B
International Conference on Formal Ontology in Information Systems,FOIS,CORE2023,B
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,CORE2023,B
Graphics Interface,GI,CORE2023,B
IEEE Global Telecommunications Conference ,GLOBECOM,CORE2023,B
International Conference on Generative Programming and Component Engineering,GPCE,CORE2023,B
Human-Agent Interaction,HAI,CORE2023,B
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B
